2026-08-13 13:14:22 INFO  LOGIN_SUCCESS user=client@test.com
2026-08-13 13:14:32 INFO  LOGOUT user=client@test.com
2026-08-13 17:30:45 INFO  LOGIN_SUCCESS user=admin@pennstatesoft.com
2026-08-13 17:30:45 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:30:45 INFO  LOGIN_SUCCESS user=client@pennstatesoft.com
2026-08-13 17:30:45 WARN  AUTHORIZATION_FAILURE user=client@pennstatesoft.com path=/admin/landing
2026-08-13 17:30:46 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:30:46 WARN  AUTHORIZATION_FAILURE user=admin@pennstatesoft.com path=/client/landing
2026-08-13 17:30:46 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:30:46 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:30:46 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:30:46 WARN  ACCOUNT_LOCKED user=client@pennstatesoft.com duration=15_minutes
2026-08-13 17:30:46 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:30:46 WARN  ACCOUNT_LOCKED user=client@pennstatesoft.com duration=15_minutes
2026-08-13 17:30:47 INFO  LOGIN_SUCCESS user=client@pennstatesoft.com
2026-08-13 17:30:47 INFO  MEETING_CREATED user=client@pennstatesoft.com meeting="Board Meeting"
2026-08-13 17:30:48 INFO  MEETING_CREATED user=client@pennstatesoft.com meeting="Mid-Morning"
2026-08-13 17:30:48 INFO  MEETING_CREATED user=client@pennstatesoft.com meeting="Sprint Planning"
2026-08-13 17:30:49 WARN  MEETING_DELETED user=client@pennstatesoft.com meetingID=1
2026-08-13 17:30:50 INFO  CLIENT_ACCOUNT_CREATED user=mixedcase@pennstatesoft.com
2026-08-13 17:30:50 INFO  CLIENT_ACCOUNT_CREATED user=newuser@pennstatesoft.com
2026-08-13 17:31:57 INFO  LOGIN_SUCCESS user=admin@pennstatesoft.com
2026-08-13 17:31:58 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:31:58 INFO  LOGIN_SUCCESS user=client@pennstatesoft.com
2026-08-13 17:31:58 WARN  AUTHORIZATION_FAILURE user=client@pennstatesoft.com path=/admin/landing
2026-08-13 17:31:58 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:31:59 WARN  AUTHORIZATION_FAILURE user=admin@pennstatesoft.com path=/client/landing
2026-08-13 17:31:59 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:31:59 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:31:59 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:31:59 WARN  ACCOUNT_LOCKED user=client@pennstatesoft.com duration=15_minutes
2026-08-13 17:31:59 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:31:59 WARN  ACCOUNT_LOCKED user=client@pennstatesoft.com duration=15_minutes
2026-08-13 17:32:00 INFO  LOGIN_SUCCESS user=client@pennstatesoft.com
2026-08-13 17:32:00 INFO  MEETING_CREATED user=client@pennstatesoft.com meeting="Board Meeting"
2026-08-13 17:32:00 INFO  MEETING_CREATED user=client@pennstatesoft.com meeting="Mid-Morning"
2026-08-13 17:32:01 INFO  MEETING_CREATED user=client@pennstatesoft.com meeting="Sprint Planning"
2026-08-13 17:32:01 WARN  MEETING_DELETED user=client@pennstatesoft.com meetingID=1
2026-08-13 17:32:02 INFO  CLIENT_ACCOUNT_CREATED user=mixedcase@pennstatesoft.com
2026-08-13 17:32:03 INFO  CLIENT_ACCOUNT_CREATED user=newuser@pennstatesoft.com
2026-08-13 17:33:27 INFO  LOGIN_SUCCESS user=admin@pennstatesoft.com
2026-08-13 17:33:28 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:33:28 INFO  LOGIN_SUCCESS user=client@pennstatesoft.com
2026-08-13 17:33:28 WARN  AUTHORIZATION_FAILURE user=client@pennstatesoft.com path=/admin/landing
2026-08-13 17:33:28 WARN  LOGIN_FAILURE user=client@pennstatesoft.com
2026-08-13 17:33:28 WARN  AUTHORIZATION_FAILURE user=admin@pennstatesoft.com path=/client/landing
